postcode,suburb,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018
3464,Carisbrook,2,4,1,2,2,2,3,1,2,2,1,1,0
3465,Bowenvale,17,19,25,25,22,28,17,18,20,18,22,14,0
3467,Avoca,2,0,0,0,5,0,2,2,1,1,2,2,0
3469,Elmhurst,1,0,1,3,1,1,1,0,5,4,1,1,0
3472,Dunluce,6,7,4,2,6,4,3,6,1,4,3,2,0
3475,Cochranes Creek,4,3,2,4,1,1,1,3,2,0,2,2,0
3477,Carapooee,6,3,8,1,6,7,8,5,7,8,7,11,0
3478,Dooboobetic,4,5,6,4,2,4,2,1,5,9,9,3,0
3480,Carron,4,3,4,3,7,2,2,2,4,3,2,3,0
3482,Massey,2,0,0,1,0,1,1,0,2,3,2,1,0
3483,Curyo,1,0,1,2,0,2,4,4,1,3,1,1,0
3485,Watchupga,1,2,1,0,2,2,0,0,1,1,0,0,0
3490,Boinka,8,9,6,5,9,8,4,10,10,16,13,6,1
3494,Carwarp,8,6,3,1,2,4,6,6,6,2,8,2,0
3496,Cardross,9,9,14,18,10,15,6,7,12,11,11,6,1
3498,Irymple,11,7,16,9,9,8,9,15,11,15,15,16,0
3500,Mildura,54,57,80,74,66,57,56,68,59,56,77,64,1
3501,Hattah,12,5,8,5,6,13,10,10,5,5,10,5,0
3505,Cabarita,12,7,5,4,9,9,13,5,3,11,9,6,1
3506,Cowangie,1,2,1,1,1,0,0,2,0,0,0,0,0
3512,Carina,8,1,3,3,3,1,2,1,2,3,2,3,0
3515,Marong,4,10,5,3,5,7,5,7,1,9,9,8,1
3516,Derby,2,3,5,2,5,3,4,6,7,3,1,4,0
3517,Brenanah,11,2,8,5,6,7,1,0,7,7,5,7,0
3518,Fentons Creek,8,6,3,4,6,5,2,6,5,6,5,4,0
3521,Pyalong,4,3,1,2,2,4,1,1,3,4,4,2,0
3522,Glenhope East,2,2,4,0,2,1,0,3,0,2,5,2,0
3523,Costerfield,10,9,10,15,13,13,12,13,9,15,11,8,0
3525,Charlton,2,3,1,1,1,1,2,2,2,0,3,3,0
3527,Bunguluke,1,3,2,2,8,7,1,4,5,1,3,2,0
3530,Culgoa,3,0,0,1,0,2,2,1,1,0,1,2,0
3533,Myall,1,1,4,1,5,0,1,6,1,3,5,4,0
3537,Canary Island,2,3,3,2,1,5,3,2,2,1,1,2,0
3544,Chinangin,2,2,4,0,1,2,2,0,3,0,2,2,0
3549,Happy Valley,3,8,11,6,4,8,8,6,5,5,9,2,0
3550,Bendigo,110,103,115,100,129,115,112,111,101,134,114,82,6
3551,Arnold,49,43,56,52,56,62,65,62,71,66,75,69,7
3555,Big Hill,31,46,31,35,31,38,53,49,47,57,43,37,4
3556,California Gully,25,18,32,18,20,21,14,28,15,21,28,28,3
3557,Fosterville,5,1,4,0,4,8,7,7,4,6,5,8,1
3558,Burnewang,6,6,5,6,3,2,5,4,1,8,7,8,1
3559,Burramboot,2,4,6,1,0,12,1,3,4,3,0,6,0
3561,Diggora,8,9,4,8,7,8,9,10,7,10,7,6,0
3562,Torrumbarry,1,2,1,1,1,0,2,1,2,6,3,2,0
3563,Lockington,1,1,0,0,0,2,1,0,1,0,3,0,0
3564,Bamawm Extension,51,48,34,40,33,31,33,38,39,31,40,36,1
3565,Kotta,2,0,1,0,0,0,1,1,0,1,0,1,0
3566,Gunbower,1,2,1,2,0,1,0,1,2,3,0,1,0
3567,Horfield,2,3,1,3,1,1,3,3,2,3,2,1,0
3568,Burkes Bridge,6,4,5,8,5,4,6,5,10,4,8,4,0
3570,Drummartin,1,3,0,1,0,3,2,1,3,1,4,3,1
3571,Dingee,1,0,1,0,0,0,1,2,0,0,2,0,0
3575,Gladfield,4,0,3,2,4,0,2,3,9,1,2,2,0
3576,Durham Ox,1,0,0,0,1,0,1,3,2,1,0,0,0
3579,Budgerum East,23,18,14,10,12,15,9,14,21,15,8,12,0
3580,Koondrook,4,2,0,1,0,3,3,4,0,3,2,1,0
3584,Lake Boga,2,1,1,4,0,1,4,0,3,1,1,2,0
3585,Castle Donnington,27,13,25,22,16,24,15,19,31,29,26,14,3
3586,Murrawee,3,1,2,1,0,0,1,1,1,0,2,0,0
3595,Nyah West,1,0,0,0,0,1,4,0,2,2,1,1,0
3597,Kenley,5,6,5,2,6,3,1,1,3,2,7,4,0
3607,Tabilk,2,2,2,0,2,0,4,4,2,2,3,0,0
3608,Goulburn Weir,9,8,11,17,20,15,13,6,6,9,7,3,1
3610,Dhurringile,6,8,9,5,4,4,7,3,3,6,5,5,0
3612,Moora,11,5,4,9,2,5,9,3,6,4,7,5,0
3614,Toolamba,2,6,3,2,2,0,3,2,1,3,4,0,0
3616,Cooma,12,10,15,16,4,13,14,11,10,15,13,2,0
3618,Merrigum,1,3,1,2,0,2,1,2,2,0,2,0,0
3620,Kyabram,20,7,11,12,22,20,15,16,16,19,14,18,3
3621,Kyvalley,8,5,7,8,7,7,5,2,6,4,6,3,1
3623,Carag Carag,2,3,2,5,1,4,2,2,2,2,1,0,0
3624,Girgarre,4,3,0,2,3,3,3,2,6,0,1,2,0
3629,Coomboona,22,17,21,17,23,23,15,20,29,21,30,19,2
3630,Caniambo,88,92,84,76,66,93,62,57,73,59,82,65,5
3631,Cosgrove,40,31,43,28,39,32,43,31,36,41,45,28,0
3633,Congupna,4,1,3,2,0,2,2,4,2,3,3,4,1
3634,Bunbartha,6,9,6,8,9,7,7,6,7,8,6,5,1
3635,Kaarimba,1,3,1,4,1,4,1,1,1,1,3,4,0
3636,Drumanure,18,15,4,8,8,13,6,9,12,10,14,4,0
3637,Waaia,8,2,2,0,1,0,0,3,4,3,3,2,0
3638,Kotupna,5,6,5,7,7,4,6,10,1,8,12,6,0
3639,Lower Moira,2,4,2,2,1,2,2,4,3,2,4,4,0
3640,Katunga,5,4,4,5,2,2,3,0,0,5,4,1,0
3641,Mywee,5,2,1,4,3,3,4,5,2,4,1,4,2
3644,Cobram,18,14,20,16,18,18,17,18,10,20,17,13,0
3646,Dookie,6,4,4,1,1,2,0,1,3,5,0,0,0
3649,Katamatite,3,0,2,3,2,3,3,1,3,0,3,2,0
3658,Broadford,24,24,22,25,22,27,26,33,31,35,38,17,1
3659,Tallarook,3,7,6,11,13,10,10,11,14,16,12,8,1
3660,Caveat,26,26,19,21,27,26,33,26,23,24,29,20,4
3662,Puckapunyal,4,2,2,3,3,0,1,4,3,3,0,0,0
3663,Mangalore,2,4,5,2,2,1,2,4,1,3,3,3,1
3664,Upton Hill,2,1,3,6,2,6,6,3,1,1,4,4,0
3665,Locksley,7,4,6,4,6,1,7,4,5,8,4,7,0
3666,Creightons Creek,24,15,20,24,19,21,17,22,15,16,9,19,3
3669,Creek Junction,6,9,9,10,9,2,12,2,8,14,11,8,0
3670,Tarnook,3,5,3,3,1,6,3,5,3,1,2,6,0
3672,Benalla,28,23,15,18,21,14,19,23,18,22,27,16,1
3673,Broken Creek,9,5,5,10,15,17,9,12,6,12,11,8,0
3675,Glenrowan,5,3,4,8,7,4,4,7,5,7,4,2,0
3677,Wangaratta,31,21,17,20,26,25,24,27,22,22,24,25,2
3678,Bobinawarrah,35,23,31,33,35,26,23,31,24,14,32,24,0
3682,Lilliput,3,0,1,5,6,2,3,7,6,2,11,1,0
3683,Chiltern,4,7,3,2,5,6,5,4,9,7,9,5,2
3685,Boorhaman North,5,13,4,11,6,10,8,3,13,10,11,9,0
3687,Wahgunyah,2,0,3,2,3,0,2,0,3,2,2,2,0
3688,Indigo Valley,2,6,4,4,3,0,8,3,5,3,2,2,0
3690,West Wodonga,54,45,61,49,54,39,45,53,45,44,48,32,1
3691,Bandiana,29,26,26,38,31,26,37,32,32,37,26,23,1
3695,Charleroi,2,1,6,3,1,1,4,4,6,3,5,8,0
3699,Falls Creek,3,6,7,6,7,7,9,10,10,4,4,5,0
3700,Bullioh,3,5,4,8,5,1,3,3,2,4,6,0,0
3701,Dartmouth,8,15,10,11,8,15,12,10,18,17,16,13,1
3704,Koetong,1,2,0,1,2,0,2,2,6,3,2,0,0
3707,Colac Colac,4,7,1,7,3,6,7,3,6,6,4,6,0
3711,Buxton,2,4,4,2,3,2,0,1,5,4,1,1,0
3713,Eildon,5,7,8,8,11,10,17,19,28,10,19,9,0
3714,Cathkin,11,13,13,7,13,11,13,12,13,7,6,17,2
3715,Merton,9,4,4,5,1,3,4,4,2,7,2,1,2
3717,Flowerdale,30,28,22,20,18,21,23,27,21,29,30,21,1
3718,Molesworth,2,1,1,0,4,3,2,5,2,2,5,2,0
3719,Gobur,6,1,2,1,1,2,4,1,4,2,6,1,0
3722,Mansfield,6,7,9,12,10,5,11,12,15,7,9,10,5
3723,Barjarg,34,30,38,30,44,34,38,61,45,47,48,24,5
3725,Chesney Vale,3,0,3,0,6,0,4,1,3,5,1,4,0
3726,Devenish,2,0,1,1,1,1,0,1,2,1,0,2,0
3728,Tungamah,2,2,0,0,1,1,1,1,1,1,1,2,0
3730,Boosey,20,8,18,10,9,14,12,22,16,13,7,16,1
3732,Moyhu,1,5,2,1,3,5,3,0,3,4,3,2,0
3733,Whitfield,2,0,0,2,1,3,0,2,5,0,1,0,0
3735,Whorouly,2,4,1,2,0,4,4,1,3,1,1,2,0
3737,Buffalo River,17,17,18,17,19,12,12,20,19,17,14,14,1
3738,Ovens,1,0,1,3,3,0,1,1,1,1,0,0,1
3740,Buckland,9,2,2,10,5,8,12,12,4,8,5,1,1
3741,Bright,19,15,19,22,14,16,17,15,24,14,19,9,0
3744,Wandiligong,1,1,1,2,0,0,2,0,0,2,2,2,0
3747,Murmungee,16,12,6,6,9,8,11,13,12,19,12,12,1
3749,Yackandandah,4,3,2,4,4,1,3,5,6,3,6,1,0
3750,Wollert,8,11,8,10,13,13,14,23,34,22,31,24,3
3751,Woodstock,4,0,3,3,2,2,4,4,4,1,10,5,0
3752,South Morang,20,17,12,35,23,20,36,25,25,25,30,12,3
3753,Beveridge,9,7,10,11,8,7,9,10,8,15,14,13,0
3754,Doreen,2,8,9,16,14,29,22,37,38,37,47,37,6
3755,Yan Yean,2,4,7,5,8,6,5,9,6,8,7,3,1
3756,Chintin,20,16,18,18,17,19,30,21,23,28,42,29,6
3757,Eden Park,29,39,23,31,22,25,21,19,32,27,34,30,3
3758,Heathcote Junction,8,12,4,8,7,9,8,4,5,9,6,5,1
3759,Panton Hill,1,1,1,2,1,5,1,8,3,2,3,2,0
3761,St Andrews,6,6,9,5,9,5,6,8,5,9,8,5,1
3763,Kinglake,12,10,9,11,11,6,10,21,16,16,11,9,1
3764,Forbes,19,15,14,17,17,22,28,22,18,19,26,23,2
3765,Montrose,26,20,15,14,14,21,13,16,20,16,10,14,2
3766,Kalorama,6,2,6,8,5,11,2,4,8,4,11,3,0
3767,Mount Dandenong,2,4,3,0,4,4,3,2,4,5,0,3,1
3770,Coldstream,16,20,11,20,16,17,21,12,15,22,20,19,1
3775,Christmas Hills,19,18,20,12,19,13,13,16,23,27,19,17,0
3777,Badger Creek,51,69,45,44,40,43,45,41,43,59,46,30,0
3778,Narbethong,13,19,13,7,8,6,6,8,6,10,10,8,2
3779,Marysville,17,13,12,14,18,10,5,7,17,15,15,10,2
3781,Cockatoo,8,13,21,17,22,10,13,21,9,8,15,10,1
3782,Clematis,26,24,33,20,30,20,23,18,23,26,19,23,1
3783,Gembrook,17,15,14,9,12,8,17,18,18,24,29,14,7
3785,Tremont,4,10,4,3,3,3,7,3,10,9,7,2,0
3786,Ferny Creek,3,3,6,5,2,4,1,5,3,5,4,3,1
3787,Sassafras,9,11,4,12,9,10,2,11,11,9,13,8,0
3788,Olinda,7,8,9,2,8,5,5,7,6,7,15,7,2
3789,Sherbrooke,10,8,3,3,2,2,1,8,5,12,2,5,0
3791,Kallista,6,7,6,8,1,8,6,8,5,2,5,6,0
3792,The Patch,2,3,1,0,2,3,0,0,3,2,2,4,0
3793,Monbulk,22,11,16,9,18,7,9,15,10,14,15,15,1
3795,Silvan,6,7,8,7,6,4,7,7,6,6,7,3,0
3796,Mount Evelyn,16,15,24,10,21,15,15,17,15,24,23,18,1
3797,Gilderoy,11,13,8,15,18,14,13,18,24,21,14,11,0
3799,Big Pats Creek,26,37,20,26,24,20,17,26,31,26,34,20,3
3802,Endeavour Hills,47,38,32,33,30,43,45,50,39,48,42,27,3
3803,Hallam,43,55,37,24,46,38,32,44,43,40,31,29,4
3804,Narre Warren East,34,21,37,26,22,40,41,39,36,44,45,29,2
3805,Narre Warren,80,100,96,82,108,89,100,91,93,110,107,85,4
3806,Berwick,55,70,63,88,89,90,78,66,55,77,99,70,7
3807,Guys Hill,18,17,12,9,13,16,15,11,10,16,19,11,1
3808,Dewhurst,10,14,14,3,8,4,3,5,5,6,7,2,0
3809,Officer,7,16,17,15,17,19,14,12,17,16,19,12,0
3810,Pakenham,69,85,61,49,50,82,74,59,75,75,77,60,3
3812,Maryknoll,9,10,12,5,5,12,9,7,1,5,12,8,1
3813,Tynong,4,6,5,1,7,3,6,4,7,6,5,5,0
3814,Cora Lynn,4,5,5,6,4,9,2,7,4,7,1,6,1
3815,Bunyip,13,3,2,5,13,8,6,17,13,9,8,9,0
3816,Labertouche,13,12,11,14,13,13,11,19,18,10,13,6,0
3818,Drouin,25,27,16,28,30,30,29,25,22,24,24,26,1
3820,Bona Vista,23,35,25,23,34,33,23,32,28,24,22,22,4
3821,Brandy Creek,14,14,12,14,15,18,15,21,19,13,25,18,0
3822,Cloverlea,3,1,2,4,8,4,3,4,4,6,1,3,0
3823,Yarragon,5,3,7,6,4,4,6,2,8,4,6,3,0
3824,Childers,10,12,13,9,14,12,19,19,12,16,16,7,0
3825,Amor,67,67,75,55,87,71,81,80,79,72,93,59,3
3831,Neerim,11,12,12,14,5,7,13,12,25,24,23,7,1
3832,Nayook,2,2,2,1,1,2,4,1,2,1,3,2,0
3833,Icy Creek,20,13,12,18,13,16,12,14,20,15,15,16,2
3835,Thorpdale,1,3,0,2,4,1,2,3,0,2,4,1,0
3840,Driffield,44,63,50,51,47,68,52,52,45,45,50,39,2
3842,Churchill,3,7,7,8,6,10,5,6,4,8,4,4,0
3844,Blackwarry,69,58,60,51,44,58,67,59,61,50,58,34,5
3847,Hiamdale,9,14,12,13,7,11,13,5,14,5,9,6,0
3850,Sale,32,31,21,18,20,31,35,27,29,25,10,20,6
3851,Bundalaguah,22,11,24,20,14,19,24,22,22,20,18,17,1
3854,Glengarry,3,4,6,0,3,6,1,5,8,5,2,5,1
3856,Toongabbie,2,3,2,1,1,2,2,2,2,1,2,1,0
3858,Dawson,18,15,8,14,12,17,15,16,24,15,10,13,1
3859,Maffra West Upper,4,3,2,5,3,2,5,3,2,10,4,6,0
3860,Boisdale,9,12,12,19,19,23,22,28,14,21,24,12,1
3862,Cobbannah,16,14,13,13,13,19,16,21,18,31,22,16,0
3864,Fernbank,3,1,0,0,1,1,1,1,4,4,2,3,0
3869,Jumbuk,3,5,4,3,2,3,3,6,3,5,0,0,1
3870,Grand Ridge,6,5,6,1,2,3,4,4,1,0,7,0,1
3871,Darlimurla,6,9,8,15,10,9,12,19,16,10,13,6,1
3873,Gormandale,5,2,4,5,1,3,1,2,0,4,7,4,0
3874,McLoughlins Beach,2,2,2,5,0,1,1,1,0,1,1,1,1
3875,Bairnsdale,41,38,44,38,46,37,45,43,49,66,37,27,3
3878,Eagle Point,2,2,4,4,1,3,6,1,1,1,0,1,0
3880,Ocean Grange,6,1,2,1,2,0,2,5,4,1,5,0,0
3885,Bruthen,5,5,7,13,8,13,11,7,5,7,8,2,0
3887,Lake Tyers,3,1,1,2,3,1,3,0,3,2,2,1,1
3888,Bonang,8,10,13,13,8,14,17,17,9,10,15,10,3
3889,Cabbage Tree Creek,7,8,8,8,2,13,4,7,8,6,14,8,1
3890,Buldah,3,10,11,8,6,12,4,9,6,6,7,6,0
3891,Genoa,7,2,0,7,6,5,6,4,4,4,3,2,0
3892,Mallacoota,2,0,0,3,2,0,1,1,1,1,0,3,0
3893,Double Bridges,4,4,5,3,2,4,5,4,3,4,3,4,0
3895,Doctors Flat,3,2,3,2,4,4,1,2,6,2,1,2,0
3896,Swifts Creek,1,2,3,5,1,5,1,4,3,1,5,4,0
3898,Cassilis,11,8,8,11,6,12,11,8,11,16,14,13,1
3902,Johnsonville,1,1,1,0,0,1,0,0,2,2,0,0,0
