postcode,suburb,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018
3000,Melbourne,249,279,290,287,273,260,248,265,270,267,201,170,23
3002,East Melbourne,53,53,71,61,52,82,54,56,39,42,42,27,4
3003,West Melbourne,57,47,52,50,69,58,68,53,61,69,77,61,5
3004,Melbourne,79,91,92,71,74,87,87,89,76,90,71,55,4
3006,South Wharf,65,68,88,73,74,91,80,70,63,78,62,51,6
3008,Docklands,70,52,75,75,69,83,61,82,87,81,69,63,9
3011,Footscray,51,52,88,68,61,85,72,92,70,69,77,57,3
3012,Brooklyn,54,73,85,69,59,72,62,70,75,67,50,55,5
3013,Yarraville,21,36,29,36,36,30,41,29,22,39,28,32,1
3015,Newport,19,30,39,35,29,23,31,38,49,38,32,28,3
3016,Williamstown,21,16,18,25,27,24,29,19,20,30,14,19,0
3018,Seaholme,17,14,25,17,20,21,20,21,27,30,19,13,1
3019,Braybrook,23,20,31,25,20,25,20,31,24,14,22,27,2
3020,Albion,72,91,99,110,93,126,136,149,131,105,111,90,9
3021,Kealba,76,88,88,87,77,79,101,90,91,83,86,64,7
3022,Ardeer,9,5,9,6,6,7,19,15,8,13,12,9,1
3023,Burnside,75,95,124,105,91,101,105,108,114,108,104,91,7
3024,Fieldstone,11,18,17,18,21,19,19,8,12,26,20,27,0
3025,Altona North,40,47,49,45,45,50,39,60,46,59,54,38,2
3026,Laverton North,29,31,34,28,30,39,41,42,42,43,35,34,1
3027,Williams Landing,6,3,3,9,5,3,12,13,15,10,9,11,1
3028,Laverton,43,33,52,41,35,34,48,38,50,47,46,24,4
3029,Hoppers Crossing,95,106,100,123,110,118,133,118,155,128,123,92,12
3030,Derrimut,155,154,136,137,124,125,153,173,204,159,130,139,14
3031,Flemington,31,24,38,28,35,44,35,41,39,27,36,26,2
3032,Ascot Vale,52,56,66,63,46,65,67,63,61,79,76,46,3
3033,Keilor East,24,27,38,30,25,23,27,27,35,38,45,22,3
3034,Avondale Heights,6,8,10,14,6,9,15,17,15,8,11,12,1
3036,Keilor,19,15,13,15,11,16,20,19,16,15,16,14,2
3037,Delahey,32,42,29,35,43,42,53,50,54,50,60,29,1
3038,Keilor Downs,29,46,38,35,41,35,42,53,36,43,43,26,1
3039,Moonee Ponds,47,30,46,41,33,46,30,54,48,30,44,25,7
3040,Essendon,49,34,38,51,51,56,56,42,46,51,52,35,4
3041,Essendon Fields,35,33,27,41,36,23,34,37,50,39,36,22,1
3042,Keilor Park,61,46,30,42,41,53,51,59,68,56,52,38,2
3043,Gladstone Park,58,50,48,63,61,51,49,50,53,73,71,54,5
3044,Pascoe Vale,43,39,49,47,56,54,66,53,53,57,58,48,4
3045,Melbourne Airport,19,14,16,28,26,27,27,17,13,15,24,4,0
3046,Glenroy,65,60,55,76,58,60,75,65,55,69,55,56,2
3047,Broadmeadows,51,55,60,56,51,66,73,64,82,68,72,63,1
3048,Coolaroo,25,31,20,27,33,41,46,40,43,46,41,28,3
3049,Westmeadows,16,8,15,18,12,10,18,14,10,13,18,14,0
3051,North Melbourne,53,31,42,49,54,42,63,55,77,60,62,49,6
3052,Parkville,56,37,44,47,37,52,41,52,45,61,46,34,4
3053,Carlton,62,70,65,81,76,66,64,72,67,71,56,53,1
3054,Carlton North,36,36,34,52,46,58,29,44,51,49,49,39,4
3055,Brunswick West,31,29,36,28,35,41,28,47,27,35,32,17,1
3056,Brunswick,56,60,88,82,93,91,91,77,76,84,73,59,7
3057,Brunswick East,22,36,30,33,33,30,25,39,35,32,35,28,3
3058,Coburg,118,104,107,105,88,111,113,113,120,119,102,91,6
3059,Greenvale,20,10,11,15,19,19,16,18,22,26,36,30,3
3060,Fawkner,30,30,38,38,24,44,31,25,36,29,31,27,5
3061,Campbellfield,44,35,41,42,40,35,50,57,47,33,48,27,2
3062,Somerton,15,15,15,7,14,13,16,13,13,22,12,16,3
3063,Oaklands Junction,4,5,4,2,3,3,6,3,5,5,3,5,0
3064,Craigieburn,50,63,80,64,72,82,96,107,108,116,117,80,6
3065,Fitzroy,43,57,71,74,57,74,45,70,63,59,60,57,7
3066,Collingwood,34,50,41,46,49,41,45,42,38,41,40,31,4
3067,Abbotsford,31,34,27,27,38,46,29,38,39,41,46,32,2
3068,Clifton Hill,51,63,68,70,83,77,56,60,85,78,83,53,4
3070,Northcote,43,67,44,47,60,46,45,47,52,51,44,34,5
3071,Thornbury,31,30,24,29,40,29,26,34,37,32,37,31,2
3072,Preston,133,115,109,101,131,113,116,135,132,116,103,82,11
3073,Reservoir,61,87,78,86,65,65,70,79,72,101,93,60,5
3074,Thomastown,79,90,93,84,83,76,82,91,107,79,103,80,6
3075,Lalor,22,33,18,27,31,25,46,25,37,38,35,28,3
3076,Epping,60,73,61,63,69,70,75,65,83,104,112,74,8
3078,Fairfield,25,40,42,40,44,28,38,34,28,40,35,30,4
3079,Ivanhoe,20,25,25,25,22,24,25,27,24,21,19,21,0
3081,Bellfield,34,24,47,47,26,26,24,30,23,28,26,36,3
3082,Mill Park,24,27,37,27,24,30,41,46,39,36,28,27,7
3083,Bundoora,55,66,64,69,54,56,67,62,63,93,83,48,6
3084,Eaglemont,65,54,67,46,59,70,71,54,54,52,82,45,2
3085,Macleod,13,17,17,21,22,20,17,25,14,12,17,15,0
3087,Watsonia,13,9,12,17,21,12,11,16,17,10,10,13,4
3088,Briar Hill,50,37,55,37,39,36,42,24,43,45,35,42,7
3089,Diamond Creek,16,16,9,21,13,15,22,15,15,17,26,15,2
3090,Plenty,9,5,7,2,4,4,13,3,12,9,8,5,0
3091,Yarrambat,6,7,5,8,12,11,12,7,15,5,10,7,1
3093,Lower Plenty,4,4,1,7,2,2,4,4,5,5,9,4,1
3094,Montmorency,10,6,10,7,8,4,8,6,1,11,6,5,0
3095,Eltham,26,45,34,41,33,34,27,27,36,39,24,33,1
3097,Kangaroo Ground,10,8,4,7,6,12,9,8,9,12,13,6,1
3099,Cottles Bridge,6,11,9,8,5,10,13,14,12,13,13,7,1
3101,Kew,58,52,70,69,47,60,51,56,58,59,60,41,3
3102,Kew East,15,15,14,12,12,12,12,17,8,8,7,8,1
3103,Deepdene,20,26,30,28,30,27,27,14,21,16,16,12,0
3104,Balwyn North,46,51,47,57,50,53,43,39,57,52,52,46,2
3105,Bulleen,16,17,24,18,17,18,12,22,25,17,15,28,0
3106,Templestowe,20,21,24,20,19,21,18,16,18,25,19,15,1
3107,Templestowe Lower,17,18,11,14,17,18,25,12,14,18,17,20,2
3108,Doncaster,41,31,47,47,39,49,42,35,39,43,43,33,2
3109,Doncaster East,34,42,30,30,30,40,37,29,33,44,28,25,2
3111,Donvale,21,17,20,13,12,13,13,7,11,12,16,14,1
3113,North Warrandyte,20,26,15,28,20,19,14,12,11,23,25,10,4
3114,Park Orchards,5,9,7,5,5,4,2,5,3,5,1,6,0
3115,Wonga Park,6,7,4,10,6,6,9,5,4,8,3,13,0
3116,Chirnside Park,14,12,13,8,14,14,21,18,14,20,17,20,1
3121,Burnley,137,147,147,127,133,136,132,135,125,130,139,108,11
3122,Hawthorn,56,64,77,98,69,73,50,81,72,66,54,54,8
3123,Hawthorn East,16,20,14,17,19,23,13,16,28,24,23,14,1
3124,Camberwell,56,71,78,74,70,58,60,62,55,32,35,39,3
3125,Burwood,33,28,29,34,34,22,29,22,43,22,19,27,0
3126,Canterbury,21,13,23,23,23,18,24,19,18,21,16,16,2
3127,Mont Albert,27,36,33,35,45,30,31,28,31,26,25,19,0
3128,Box Hill,44,58,57,47,48,43,35,46,44,35,45,35,5
3129,Box Hill North,31,25,19,24,33,23,25,20,26,25,34,17,2
3130,Blackburn,66,58,67,58,53,50,48,48,68,54,63,41,4
3131,Forest Hill,55,59,52,49,57,50,47,44,39,53,39,40,4
3132,Mitcham,33,37,27,23,22,30,29,20,26,26,18,20,0
3133,Vermont,23,32,33,36,33,28,32,25,23,29,38,18,0
3134,Ringwood,97,79,104,92,91,96,97,85,92,86,77,68,2
3135,Heathmont,38,34,27,43,20,37,31,31,31,29,24,21,3
3136,Croydon,73,60,69,69,72,88,64,61,64,77,84,67,6
3137,Kilsyth,24,19,25,18,16,18,15,23,17,16,20,20,2
3138,Mooroolbark,23,29,29,22,31,23,19,22,29,25,18,14,2
3139,Beenak,46,39,51,45,47,46,41,32,54,53,47,45,3
3140,Lilydale,43,39,47,36,43,44,44,38,45,48,37,35,5
3141,South Yarra,64,79,65,62,67,62,57,62,69,71,58,56,4
3142,Toorak,33,31,34,30,33,40,26,34,47,32,25,31,2
3143,Armadale,18,18,27,20,13,22,23,21,17,25,17,18,0
3144,Kooyong,33,27,52,43,40,52,29,39,37,38,29,20,1
3145,Caulfield East,66,70,84,72,74,79,60,65,57,44,69,41,4
3146,Glen Iris,55,42,60,52,57,63,50,55,53,58,35,33,3
3148,Chadstone,15,31,28,37,30,22,24,27,35,20,24,13,0
3149,Mount Waverley,71,72,78,68,47,66,52,53,77,79,78,49,2
3150,Glen Waverley,126,122,128,119,99,102,117,111,112,122,90,83,5
3151,Burwood East,33,26,38,34,36,30,32,21,23,23,24,26,2
3152,Wantirna,73,83,79,68,74,69,70,70,68,89,66,64,2
3153,Bayswater,70,67,54,41,61,45,46,42,45,46,57,46,2
3154,The Basin,6,11,7,5,9,4,2,3,4,4,7,6,1
3155,Boronia,44,51,58,40,45,37,39,42,36,42,40,38,4
3156,Ferntree Gully,94,108,81,76,66,85,65,73,63,79,82,56,4
3158,Upwey,5,9,10,8,9,11,7,9,5,5,10,6,1
3159,Menzies Creek,10,8,4,8,8,15,13,7,6,5,5,8,0
3160,Belgrave,31,20,19,24,23,30,17,24,24,17,24,17,1
3161,Caulfield North,47,31,36,36,31,43,40,31,32,26,41,37,2
3162,Caulfield,23,31,25,26,28,30,32,31,30,21,25,22,4
3163,Carnegie,49,37,46,56,66,59,50,43,39,45,40,45,5
3165,Bentleigh East,38,36,31,42,28,35,47,39,39,34,44,49,2
3166,Hughesdale,75,71,61,63,54,63,66,66,87,72,78,49,2
3167,Oakleigh South,35,20,25,33,33,30,35,32,36,45,34,30,4
3168,Clayton,59,47,57,54,52,44,61,78,75,68,46,52,4
3169,Clarinda,52,55,62,40,47,35,48,43,38,42,41,37,2
3170,Mulgrave,54,52,55,56,48,47,45,52,41,66,65,46,7
3171,Springvale,67,67,89,66,65,65,77,77,66,75,74,45,4
3172,Dingley Village,36,35,42,27,32,40,29,29,37,22,36,26,5
3173,Keysborough,48,44,44,46,42,44,47,51,40,47,74,53,4
3174,Noble Park,84,69,87,68,79,82,98,67,70,81,73,44,2
3175,Bangholme,228,220,243,210,227,232,257,250,256,280,280,193,15
3177,Doveton,41,43,40,27,30,33,35,33,38,34,41,19,0
3178,Rowville,65,78,63,73,53,52,44,48,53,45,43,48,4
3179,Scoresby,19,20,19,26,16,18,19,17,12,27,26,10,2
3180,Knoxfield,19,20,17,18,10,25,12,12,13,12,24,9,1
3181,Prahran,91,79,71,88,92,100,78,84,106,90,73,60,6
3182,St Kilda,129,109,116,100,85,89,82,86,88,79,89,59,5
3183,Balaclava,29,36,35,40,52,28,36,42,53,45,23,32,4
3184,Elwood,22,21,14,28,26,24,23,24,28,26,29,21,2
3185,Elsternwick,42,33,35,40,54,37,32,40,45,34,35,28,9
3186,Brighton,67,61,73,63,72,60,80,73,57,68,68,66,8
3187,Brighton East,32,29,31,32,43,30,41,40,26,30,35,25,3
3188,Hampton,25,20,28,17,27,32,29,22,20,19,18,23,2
3189,Moorabbin,15,17,15,11,13,23,17,23,16,21,17,14,3
3190,Highett,29,20,21,19,16,14,20,19,21,24,16,14,0
3191,Sandringham,20,26,21,22,16,11,17,18,14,10,21,21,0
3192,Cheltenham,50,61,71,50,44,38,55,48,65,55,56,57,1
3193,Beaumaris,38,28,32,26,32,30,23,34,33,23,32,23,2
3194,Mentone,45,49,38,40,33,35,36,52,46,39,47,32,3
3195,Aspendale,107,105,91,107,92,88,102,90,102,93,72,65,7
3196,Bonbeach,62,57,51,40,48,41,56,47,54,48,50,37,5
3197,Carrum,23,18,20,13,14,13,17,12,15,15,16,15,2
3198,Seaford,41,45,45,45,50,45,46,35,39,34,30,31,4
3199,Frankston,152,115,157,145,140,113,115,103,95,97,93,65,4
3200,Frankston North,11,14,15,12,17,11,16,6,12,11,11,8,1
3201,Carrum Downs,41,47,44,41,34,26,41,50,53,57,53,38,3
3202,Heatherton,23,24,25,17,15,14,28,24,11,16,14,17,1
3204,Bentleigh,70,54,63,70,63,58,71,69,62,68,78,39,3
3205,South Melbourne,58,54,80,49,53,48,49,59,51,70,55,44,4
3206,Middle Park,32,31,20,32,35,37,40,41,35,41,33,28,2
3207,Port Melbourne,49,62,59,62,57,79,68,65,80,64,59,56,6
3211,Little River,5,7,5,7,5,13,7,4,7,3,6,6,0
3212,Lara,15,17,19,22,12,23,18,19,35,23,22,12,4
3213,Lovely Banks,16,11,10,12,12,9,22,11,16,9,6,20,2
3214,Corio,69,46,61,55,59,62,58,67,81,69,63,67,6
3215,Bell Park,49,43,33,42,39,46,43,51,44,41,55,42,3
3216,Belmont,60,73,79,90,69,84,81,102,79,95,106,87,6
3217,Charlemont,15,16,14,20,14,17,11,10,16,24,28,20,3
3218,Fyansford,34,26,43,25,30,38,26,37,38,28,39,30,4
3219,Breakwater,30,31,39,51,39,39,38,42,40,51,45,42,4
3220,Geelong,120,83,79,86,88,83,103,86,97,92,106,81,7
3222,Clifton Springs,13,23,22,24,14,24,25,27,19,17,17,20,2
3223,Indented Head,8,12,7,8,14,17,9,8,15,10,17,7,1
3224,Leopold,24,28,24,19,27,32,18,34,26,18,23,32,1
3225,Point Lonsdale,2,10,10,5,9,6,6,3,2,2,4,2,1
3226,Ocean Grove,5,3,16,8,8,10,10,16,13,12,14,6,0
3227,Breamlea,11,10,6,6,3,9,8,6,7,11,10,9,0
3228,Bellbrae,16,18,19,16,14,25,15,25,28,24,28,10,4
3231,Eastern View,7,7,8,7,10,8,12,6,8,4,5,1,0
3232,Lorne,13,6,14,12,15,11,7,2,12,8,11,5,4
3233,Cape Otway,8,5,8,11,4,14,13,13,17,13,12,10,1
3234,Grey River,9,14,9,7,8,6,2,3,9,6,6,4,0
3235,Deans Marsh,4,6,4,1,7,5,6,9,9,4,3,6,1
3236,Forrest,1,2,3,2,2,1,3,3,2,1,3,0,0
3237,Ferguson,3,14,13,8,4,5,6,7,10,7,7,17,2
3238,Glenaire,10,10,5,5,4,7,4,7,6,4,6,11,1
3239,Carlisle River,4,8,4,4,3,4,4,3,3,6,6,5,0
3240,Buckley,12,10,2,8,12,11,5,5,6,11,9,6,0
3241,Ombersley,11,13,11,12,12,12,6,12,12,18,14,18,1
3243,Murroon,4,2,2,5,3,1,3,3,7,7,6,10,2
3249,Coragulac,18,12,19,19,19,18,12,18,23,26,23,17,3
3250,Colac,12,16,18,28,18,15,14,15,16,17,20,12,5
3251,Cundare,1,0,3,1,0,4,1,1,1,0,0,0,0
3260,Bookaar,5,16,10,7,6,12,5,10,13,8,13,4,1
3264,Terang,4,5,6,6,6,5,5,6,3,1,8,7,1
3265,Boorcan,10,7,3,5,11,12,11,8,12,11,7,9,2
3266,Bullaharre,10,7,12,4,11,8,6,9,10,13,7,10,1
3268,Brucknell,10,11,8,10,7,11,5,6,7,11,7,14,0
3269,Port Campbell,4,6,4,3,2,8,7,3,5,2,5,8,2
3270,Peterborough,3,2,1,0,2,0,0,0,2,1,3,2,0
3272,Mortlake,5,5,1,7,3,3,5,2,4,4,5,5,0
3275,Mailors Flat,2,0,0,1,1,1,0,1,0,2,0,2,0
3276,Minjah,1,3,0,0,1,1,3,3,1,0,1,2,1
3277,Mepunga,4,8,3,6,10,6,6,5,4,3,5,3,1
3278,Purnim,1,0,0,2,1,0,1,0,1,2,1,4,0
3279,Wangoom,3,2,3,2,2,0,1,2,4,1,1,1,1
3280,Dennington,53,50,57,67,66,47,59,44,46,53,74,53,3
3281,Bushfield,1,4,5,2,2,1,4,0,8,2,7,4,0
3282,Illowa,7,3,4,1,3,6,1,5,6,7,5,3,0
3283,Crossley,4,5,5,5,8,7,3,6,6,5,7,3,0
3284,Orford,8,3,5,6,8,3,2,9,7,3,1,3,0
3285,Codrington,3,4,3,3,3,2,5,4,1,7,3,2,0
3286,Condah Swamp,1,0,1,0,2,3,3,1,2,5,1,1,0
3289,Gazette,2,1,3,7,1,3,5,2,1,3,4,2,0
3292,Nelson,1,5,0,0,2,2,3,1,2,2,0,2,0
3293,Glenthompson,1,1,0,0,5,0,2,0,1,1,0,1,0
3294,Dunkeld,9,2,3,2,5,2,5,1,5,4,3,4,0
3300,Byaduk North,18,17,18,18,14,16,17,13,11,17,8,13,0
